time,wavelength,flux,flux_err
59045.00000,0.5,1.004967,0.0100
59045.00000,0.6,0.998617,0.0100
59045.00000,0.7,1.006477,0.0100
59045.00000,0.8,1.015230,0.0100
59045.00000,0.9,0.997658,0.0100
59045.00000,1.0,0.997659,0.0100
59045.00000,1.1,1.015792,0.0100
59045.00000,1.2,1.007674,0.0100
59045.00000,1.3,0.995305,0.0100
59045.00000,1.4,1.005426,0.0100
59045.00000,1.5,0.995366,0.0100
59045.00000,1.6,0.995343,0.0100
59045.00000,1.7,1.002420,0.0100
59045.00000,1.8,0.980867,0.0100
59045.00000,1.9,0.982751,0.0100
59045.00000,2.0,0.994377,0.0100
59045.00000,2.1,0.989872,0.0100
59045.00000,2.2,1.003142,0.0100
59045.00000,2.3,0.990920,0.0100
59045.00000,2.4,0.985877,0.0100
59045.00000,2.5,1.014656,0.0100
59045.00000,2.6,0.997742,0.0100
59045.00000,2.7,1.000675,0.0100
59045.00000,2.8,0.985753,0.0100
59045.00000,2.9,0.994556,0.0100
59045.00000,3.0,1.001109,0.0100
59045.00000,3.1,0.988490,0.0100
59045.00000,3.2,1.003757,0.0100
59045.00000,3.3,0.993994,0.0100
59045.00000,3.4,0.997083,0.0100
59045.00000,3.5,0.993983,0.0100
59045.00000,3.6,1.018523,0.0100
59045.00000,3.7,0.999865,0.0100
59045.00000,3.8,0.989423,0.0100
59045.00000,3.9,1.008225,0.0100
59045.00000,4.0,0.987792,0.0100
59045.00000,4.1,1.002089,0.0100
59045.00000,4.2,0.980403,0.0100
59045.00000,4.3,0.986718,0.0100
59045.00000,4.4,1.001969,0.0100
59045.00000,4.5,1.007385,0.0100
59045.00000,4.6,1.001714,0.0100
59045.00000,4.7,0.998844,0.0100
59045.00000,4.8,0.996989,0.0100
59045.00000,4.9,0.985215,0.0100
59045.00000,5.0,0.992802,0.0100
59045.00000,5.1,0.995394,0.0100
59045.00000,5.2,1.010571,0.0100
59045.00000,5.3,1.003436,0.0100
59045.00000,5.4,0.982370,0.0100
59045.00000,5.5,1.003241,0.0100
59045.00000,5.6,0.996149,0.0100
59045.00000,5.7,0.993231,0.0100
59045.00000,5.8,1.006117,0.0100
59045.00000,5.9,1.010310,0.0100
59045.00000,6.0,1.009313,0.0100
59045.00000,6.1,0.991608,0.0100
59045.00000,6.2,0.996908,0.0100
59045.00000,6.3,1.003313,0.0100
59045.00000,6.4,1.009755,0.0100
59045.00000,6.5,0.995208,0.0100
59045.00000,6.6,0.998143,0.0100
59045.00000,6.7,0.988937,0.0100
59045.00000,6.8,0.988038,0.0100
59045.00000,6.9,1.008125,0.0100
59045.00000,7.0,1.013562,0.0100
59045.00000,7.1,0.999280,0.0100
59045.00000,7.2,1.010035,0.0100
59045.00000,7.3,1.003616,0.0100
59045.00000,7.4,0.993549,0.0100
59045.00000,7.5,1.003614,0.0100
59045.00000,7.6,1.015380,0.0100
59045.00000,7.7,0.999642,0.0100
59045.00000,7.8,1.015646,0.0100
59045.00000,7.9,0.973803,0.0100
59045.00000,8.0,1.008219,0.0100
59045.00000,8.1,1.000870,0.0100
59045.00000,8.2,0.997010,0.0100
59045.00000,8.3,1.000918,0.0100
59045.00000,8.4,0.980124,0.0100
59045.00000,8.5,0.997803,0.0100
59045.00000,8.6,1.003571,0.0100
59045.00000,8.7,1.014779,0.0100
59045.00000,8.8,0.994817,0.0100
59045.00000,8.9,0.991915,0.0100
59045.00000,9.0,0.994982,0.0100
59045.00000,9.1,1.009154,0.0100
59045.00000,9.2,1.003288,0.0100
59045.00000,9.3,0.994702,0.0100
59045.00000,9.4,1.005133,0.0100
59045.00000,9.5,1.000971,0.0100
59045.00000,9.6,1.009686,0.0100
59045.00000,9.7,0.992979,0.0100
59045.00000,9.8,0.996723,0.0100
59045.00000,9.9,0.996079,0.0100
59045.00000,10.0,0.985365,0.0100
59045.04000,0.5,1.027830,0.0100
59045.04000,0.6,1.027480,0.0100
59045.04000,0.7,1.024920,0.0100
59045.04000,0.8,1.022523,0.0100
59045.04000,0.9,1.010715,0.0100
59045.04000,1.0,1.020663,0.0100
59045.04000,1.1,1.021442,0.0100
59045.04000,1.2,1.016846,0.0100
59045.04000,1.3,1.023256,0.0100
59045.04000,1.4,1.028909,0.0100
59045.04000,1.5,1.043731,0.0100
59045.04000,1.6,1.026615,0.0100
59045.04000,1.7,1.027444,0.0100
59045.04000,1.8,1.024125,0.0100
59045.04000,1.9,1.005681,0.0100
59045.04000,2.0,1.024604,0.0100
59045.04000,2.1,1.025471,0.0100
59045.04000,2.2,1.049501,0.0100
59045.04000,2.3,1.022945,0.0100
